"ghm","ghs","borne_basse","borne_haute","dms_n","rsavclass","noseqta","anseqta"
"12M03V","",,,6.85801087304125,"10","003","2007"
"12M03W","",,,12.4892018779343,"10","003","2007"
"12M04V","",,,2.82223962411903,"10","003","2007"
"12M04W","",,,7.37747035573123,"10","003","2007"
"12M05Z","",,,3.56631455399061,"10","003","2007"
"13C01S","",,,15.4237089201878,"10","003","2007"
"13C02V","",,,8.055386007,"10","003","2007"
"13C02W","",,,14.94418362,"10","003","2007"
"13C03V","",,,5.44818694601128,"10","003","2007"
"13C03W","",,,7.10044150110375,"10","003","2007"
"13C04V","",,,3.60404858299595,"10","003","2007"
"13C04W","",,,5.55500338829907,"10","003","2007"
"13C05Z","",,,7.98297213622291,"10","003","2007"
"13C06Z","",,,4.18721690991444,"10","003","2007"
"13C07V","",,,3.77038837220171,"10","003","2007"
"13C07W","",,,5.91774891774892,"10","003","2007"
"13C08V","",,,2.7627688172043,"10","003","2007"
"13C08W","",,,7.93657817109145,"10","003","2007"
"13C09Z","",,,3.00559409263817,"10","003","2007"
"13C10Z","",,,2.27309439676931,"10","003","2007"
"13C11Z","",,,2.30547263681592,"10","003","2007"
"13C12Z","",,,2.35921133703019,"10","003","2007"
"13C13Z","",,,8.1944099378882,"10","003","2007"
"13C14V","",,,8.79289584587598,"10","003","2007"
"13C14W","",,,16.6276517922458,"10","003","2007"
"13C15V","",,,7.01405719825497,"10","003","2007"
"13C15W","",,,10.4762808349146,"10","003","2007"
"13M02Z","",,,4.152,"10","003","2007"
"13M03V","",,,6.72350396539293,"10","003","2007"
"13M03W","",,,15.0452261306533,"10","003","2007"
"13M04V","",,,2.69275383598855,"10","003","2007"
"13M04W","",,,7.00320307495195,"10","003","2007"
"14C02A","",,,6.7444866048691,"10","003","2007"
"14C02B","",,,9.33736669401148,"10","003","2007"
"14C02C","",,,11.3424784436685,"10","003","2007"
"14C03Z","",,,6.53030303030303,"10","003","2007"
"14C04Z","",,,5.27114967462039,"10","003","2007"
"14C05Z","",,,2.77024307168292,"10","003","2007"
"14M02Z","",,,4.63117613956106,"10","003","2007"
"14Z02A","",,,4.43649052841476,"10","003","2007"
"14Z02B","",,,5.0986253052365,"10","003","2007"
"14Z02C","",,,7.10355145688217,"10","003","2007"
"14Z03A","",,,3.83722621492129,"10","003","2007"
"14Z03B","",,,6.31909356725146,"10","003","2007"
"14Z04Z","",,,2.85673959068454,"10","003","2007"
"14Z05Z","",,,3.15134484142914,"10","003","2007"
"14Z06Z","",,,3.54947994056464,"10","003","2007"
"14Z07Z","",,,4.10981308411215,"10","003","2007"
"15Z02Z","",,,14.2068315665489,"10","003","2007"
"15Z03Z","",,,2.41578148710167,"10","003","2007"
"15Z04E","",,,12.0893300248139,"10","003","2007"
"15Z05A","",,,4.17336248655134,"10","003","2007"
"15Z05B","",,,5.5618658661454,"10","003","2007"
"15Z05C","",,,7.22810108462258,"10","003","2007"
"15Z05D","",,,12.9588541666667,"10","003","2007"
"15Z06A","",,,6.67239369520045,"10","003","2007"
"15Z06B","",,,9.90999315537303,"10","003","2007"
"15Z06C","",,,12.9769184652278,"10","003","2007"
"15Z06D","",,,19.8578115857226,"10","003","2007"
"15Z07A","",,,16.6534148827727,"10","003","2007"
"15Z07B","",,,22.4576713303296,"10","003","2007"
"15Z07C","",,,30.4819014391627,"10","003","2007"
"15Z08A","",,,37.7700418105799,"10","003","2007"
"15Z08E","",,,18.1597633136095,"10","003","2007"
"15Z09A","",,,64.1674253920081,"10","003","2007"
"15Z09E","",,,16.0153846153846,"10","003","2007"
"16C01S","",,,21.1300578034682,"10","003","2007"
"16C02Z","",,,9.10248756218905,"10","003","2007"
"16C03V","",,,4.04234187140617,"10","003","2007"
"16C03W","",,,10.8608137044968,"10","003","2007"
"16M01S","",,,13.6284262884961,"10","003","2007"
"16M02V","",,,5.24778106508876,"10","003","2007"
"16M02W","",,,9.49001584786054,"10","003","2007"
"16M03V","",,,4.30537229029218,"10","003","2007"
"16M03W","",,,7.38918918918919,"10","003","2007"
"16M04V","",,,3.94127130354675,"10","003","2007"
"16M04W","",,,9.22109796950844,"10","003","2007"
"16M05V","",,,3.98397498534297,"10","003","2007"
"16M05W","",,,9.15521936459909,"10","003","2007"
"17C01S","",,,28.9221748400853,"10","003","2007"
"17C02V","",,,6.93817619783617,"10","003","2007"
"17C02W","",,,13.8142620232172,"10","003","2007"
"17C03V","",,,5.58355795148248,"10","003","2007"
"17C03W","",,,16.8271028037383,"10","003","2007"
"17C04V","",,,9.26052332195677,"10","003","2007"
"17C04W","",,,15.2005649717514,"10","003","2007"
"17C05V","",,,4.95443548387097,"10","003","2007"
"17C05W","",,,12.3476070528967,"10","003","2007"
"17K02Z","",,,3.05594956658786,"10","003","2007"
"17K04Z","",,,5.30261082880673,"10","003","2007"
